id,name,price,originalprice,discountPercentage,detail,platform,category,scrapedate,seller
ps--BLG-70029-01350,Sunlight Sabun Cuci Piring Dishwash Jeruk Nipis 10X Bersihkan Lemak Lebih Cepat [650mL],13700.0,17500.0,22,650mL,BliBli,Cairan Pembersih Dapur,2024-01-28,Blibli Express Store
ps--BLG-70029-03282,Dove Deeply Nourishing Body Wash [Refill/400ml],27600.0,34000.0,19,Refill/400ml,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-03303,Lifebuoy Lemon Fresh Refill Body Wash [400mL],21500.0,26000.0,17,400mL,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-03345,Sunlight Sabun Cuci Piring Dishwash Jeruk Nipis 10X Bersihkan Lemak Lebih Cepat [1500 mL],35200.0,40000.0,12,1500mL,BliBli,Cairan Pembersih Dapur,2024-01-28,Blibli Express Store
ps--BLG-70029-04210,Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs],34500.0,35000.0,1,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-04212,Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs],34500.0,35000.0,1,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-04213,Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs],34500.0,35000.0,1,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-04374,Lifebuoy Total 10 Sabun Batang 100 g [4 Pcs],18500.0,21075.0,12,4Pcs,BliBli,Sabun Batang,2024-01-28,Blibli Express Store
ps--BLG-70029-04399,Vaseline Healthy Brightâ€‹ Gluta-Hyaluron Serum Burst Flawless Bright UV Lotion [330 mL],68100.0,84750.0,20,330mL,BliBli,Pelembab Kulit Badan,2024-01-28,Blibli Express Store
ps--BLG-70029-04432,Vaseline Healthy Bright Daily Sun Refreshing Serum SPF 50 PA++++ 170 mL,103400.0,110000.0,6,170mL,BliBli,Pelembab Kulit Badan,2024-01-28,Blibli Express Store
ps--BLG-70029-04462,Vaseline Healthy Brightâ€‹ Gluta Hyaluron & Peptide Serum Overnight Repair Body Lotion 200 mL,51800.0,64500.0,20,200mL,BliBli,Pelembab Kulit Badan,2024-01-28,Blibli Express Store
ps--BLG-70029-04484,Vaseline Healthy Brightâ€‹ Gluta-Hyaluron Serum Burst Dewy Radiance Lotion [330 mL],68100.0,84750.0,20,330mL,BliBli,Pelembab Kulit Badan,2024-01-28,Blibli Express Store
ps--BLG-70029-04619,Dove Deeply Nourishing Body Wash [1000 mL/ Kemasan Pump],101200.0,113950.0,11,1000mL/KemasanPump,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-04678,Rexona Men Ice Cool Roll-On Deodorant [45 mL],17800.0,20200.0,12,45mL,BliBli,Deodoran & Anti Perspirant,2024-01-28,Blibli Express Store
ps--BLG-70029-04682,CLEAR Anti Ketombe Anti Dandruff Ice Cool Menthol Shampoo 1200mL,115500.0,134600.0,14,1200mL,BliBli,Sampo,2024-01-28,Blibli Express Store
ps--BLG-70029-04683,CLEAR Anti Ketombe Anti Dandruff Ice Cool Menthol Shampoo 1200mL,115500.0,134600.0,14,1200mL,BliBli,Sampo,2024-01-28,Blibli Express Store
ps--BLG-70029-04684,Dove 3 in 1 Super Shampoo Serum [125 mL] -,21100.0,23600.0,11,125mL-,BliBli,Sampo,2024-01-28,Blibli Express Store
ps--BLG-70029-04713,Zwitsal Kids Bubble Bath Blue Clean & Fresh Sabun Anak - 250mL,19700.0,22100.0,11,250mL,BliBli,Sabun Mandi Anak,2024-01-28,Blibli Express Store
ps--BLG-70029-04714,Zwitsal Baby Bottle Cleaner Pembersih Botol Bayi 425 mL,20700.0,22400.0,8,425mL,BliBli,Sabun Khusus Peralatan Makan Anak,2024-01-28,Blibli Express Store
ps--BLG-70029-04738,Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C [245 mL],9300.0,9700.0,4,245mL,BliBli,Jus,2024-01-28,Blibli Express Store
ps--BLG-70029-06918,Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C [245 mL],9300.0,9700.0,4,245mL,BliBli,Jus,2024-01-28,Blibli Express Store
ps--BLG-70029-06926,Rinso Anti Noda Classic Fresh Liquid Detergent Pouch 700 mL,24000.0,27600.0,13,700mL,BliBli,Deterjen,2024-01-28,Blibli Express Store
ps--BLG-70029-06928,Rinso Deterjen Bubuk Detergent Rose Fresh Anti Bau & Apek + Proteksi Higienis [1.8 Kg],59900.0,70600.0,15,1.8Kg,BliBli,Deterjen,2024-01-28,Blibli Express Store
ps--BLG-70029-06930,Rinso Detergen Cair Konsentrat Rose Fresh Anti Bau & Apek + Proteksi Higienis 700 mL,17700.0,27600.0,36,700mL,BliBli,Deterjen,2024-01-28,Blibli Express Store
ps--BLG-70029-06931,Rinso Detergen Cair Konsentrat Rose Fresh Anti Bau & Apek + Proteksi Higienis 700 mL,17700.0,27600.0,36,700mL,BliBli,Deterjen,2024-01-28,Blibli Express Store
ps--BLG-70029-06935,Rinso Detergen Cair Konsentrat Rose Fresh Anti Bau & Apek + Proteksi Higienis 700 mL,17700.0,27600.0,36,700mL,BliBli,Deterjen,2024-01-28,Blibli Express Store
ps--BLG-70029-06952,Buavita Mini Juice Jeruk 125 mL,4700.0,4900.0,4,125mL,BliBli,Jus,2024-01-28,Blibli Express Store
ps--BLG-70029-07402,Lux Botanicals Soft Rose Body Wash Pouch 825 mL Twin Pack [2 Pcs],85400.0,92000.0,7,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-07404,Lux Sabun Cair Sakura Bloom Refill 825 mL Twinpack [2 Pcs],85400.0,92000.0,7,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-07405,Lux Sabun Cair White Velvet Touch Refill 825 mL Twinpack [2 Pcs],85400.0,92000.0,7,2Pcs,BliBli,Sabun Cair,2024-01-28,Blibli Express Store
ps--BLG-70029-07493,Royco Bumbu Kaldu Penyedap Rasa Ayam 220 g,10400.0,11000.0,5,g,BliBli,Penyedap Rasa,2024-01-28,Blibli Express Store
ps--BLP-60053-00005,Zwitsal Kids Bubble Bath Blue Clean & Fresh Sabun Anak 250 mL,17800.0,22100.0,19,250mL,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00034,Zwitsal Natural Essential Gift Set [Random],101700.0,139950.0,27,Random,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00070,Zwitsal Kids 2 in 1 Green Natural & Nourishing 250 mL,17000.0,23450.0,28,250mL,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00095,Zwitsal Eau De Toilette Body Mist [100 mL],31100.0,37534.0,17,100mL,BliBli,"Bedak, Minyak dan Lotion Bayi",2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00139,Pepsodent Kids Extra Soft Sikat Gigi Anak Random,8000.0,8975.0,11,Random,BliBli,Kesehatan Gigi Bayi,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00147,Zwitsal EDT Eau De Toilette Body Mist [100mL/Twinpack],53300.0,75068.0,29,100mL/Twinpack,BliBli,"Bedak, Minyak dan Lotion Bayi",2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00206,Zwitsal Baby Bath Natural Milk and Honey [300 mL/ Twinpack],67900.0,77600.0,13,300mL/Twinpack,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00319,Zwitsal Natural Baby Bath 2-in-1 Hair & Body [300 mL/Twinpack],57000.0,74000.0,23,300mL/Twinpack,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--BLP-60053-00462,Zwitsal Baby Natural Gift Box Set - Kado Bayi [Random] + Free - Zwitsal Baby Wipes Aloe 40s [Buy 1 Get 1 ] / Twinpack,128300.0,182498.0,30,Buy1Get1/Twinpack,BliBli,Sabun Mandi Anak,2024-01-28,Bliblimart (Personal Care Anak) - Unilever Baby Care
ps--GAP-70109-00076,Sunlight Sabun Cuci Piring Dishwash Jeruk Nipis 10X Bersihkan Lemak Lebih Cepat 650 mL [2 Pcs],22900.0,32000.0,28,2Pcs,BliBli,Cairan Pembersih Dapur,2024-01-28,GAN PLAZA SURABAYA Official Store
ps--INM-70131-03326,MOLTO - Pelembut & Pewangi Pakaian REFILL 1600ml | Pewangi Baju Molto,70500.0,70500.0,0,Molto,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,INTI MEDIKA STORE Official Store
ps--MIS-70590-00007,BUAVITA JAMBU 245 ML,8487.0,8487.0,0,245ML,BliBli,Jus,2024-01-28,Mina Swalayan Syariah Official Store
