"category","fixed_category"
"kecap","FOOD"
"tooth-paste--treatment","ORAL HYGIENE"
"pembersih-lantai-dan-toilet","PEMBERSIH PERALATAN"
"es-krim","FOOD"
"mentega--margarin","OTHERS"
"sabun-cuci-piring","BODY WASH"
"garam-bumbu","FOOD"
"jus","FOOD"
"teh-celup","FOOD"
"tooth-brush","ORAL HYGIENE"
"deodorant-stick","BODY WASH"
"sup-instan","FOOD"
"perlengkapan-bayi","BABY CARE"
"baby-cologne-oil-lotion-cream","BABY CARE"
"Shampoo","HAIR PRODUCT"
"Micellar Water","OTHERS"
"Pasta Gigi","ORAL HYGIENE"
"Shampoo & Sabun Bayi","BABY CARE"
"Parfum & Cologne Anak-Anak","BODY WASH"
"Cream & Lotion Bayi","BABY CARE"
"Sabun Mandi","BODY WASH"
"Body Lotion","BODY WASH"
"Serum Wajah","FACIAL TREATMENT"
"Krim Wajah","FACIAL TREATMENT"
"Face Mist","FACIAL TREATMENT"
"Cleanser Wajah","FACIAL TREATMENT"
"Teh","FOOD"
"Deterjen Laundry","OTHERS"
"Deodorant","BODY WASH"
"Sabun Cuci Piring","BODY WASH"
"Kaldu & Penyedap Rasa","OTHERS"
"Conditioner","HAIR PRODUCT"
"Scrub Wajah","FACIAL TREATMENT"
"Kecap","FOOD"
"Lunch Box Set","OTHERS"
"Parfum & Cologne Pria","BODY WASH"
"Pewangi Pelembut Pakaian","PEMBERSIH PERALATAN"
"Sikat Gigi","ORAL HYGIENE"
"Hampers","OTHERS"
"Sunblock wajah","FACIAL TREATMENT"
"Minyak","OTHERS"
"Jus","FOOD"
"Karbol","OTHERS"
"Pembersih Toilet","PEMBERSIH PERALATAN"
"Lip Balm & Oil","OTHERS"
"Sabun Cuci Tangan","BODY WASH"
"hair-conditioner-1","HAIR PRODUCT"
"treatment-liquid-soap","BODY WASH"
"body-lotion","BODY WASH"
"pelicin-dan-pewangi-pakaian","PEMBERSIH PERALATAN"
"mens-cologne","BODY WASH"
"beauty-shampoo-1","HAIR PRODUCT"
"facial-cleanser","FACIAL TREATMENT"
"perawatan-pasta-gigi","ORAL HYGIENE"
"body-soap","BODY WASH"
"deterjen","OTHERS"
"mentega-margarin","OTHERS"
"shampoo-for-men","HAIR PRODUCT"
"es-krim-stick--cup","FOOD"
"deterjen-matic","OTHERS"
"mens-body-care","BODY WASH"
"body-bar-soap","BODY WASH"
"deodorant","BODY WASH"
"facial-milk-cleanser--freshner","FACIAL TREATMENT"
"treatment-shampoo","HAIR PRODUCT"
"krim-wajah","FACIAL TREATMENT"
"deterjen-bubuk","OTHERS"
"pasta-sikat-gigi-anak","ORAL HYGIENE"
"kecap-saus","FOOD"
"hair--shampoo","HAIR PRODUCT"
"mens-shampoo","HAIR PRODUCT"
"bumbu-masak","FOOD"
"facial-caremasker","FACIAL TREATMENT"
"bumbu-instan","FOOD"
"lip-make-up","OTHERS"
"facial-cleanser-1","FACIAL TREATMENT"
"deterjen-cair","OTHERS"
"perlengkapan-anak","OTHERS"
"facial-cotton-1","FACIAL TREATMENT"
"hand-wash","OTHERS"
"facial-cotton","FACIAL TREATMENT"
"kids-hair-body-wash","HAIR PRODUCT"
"bumbu-tradisional","FOOD"
"body-cologne","BODY WASH"
"baby-hair-body-wash","BABY CARE"
"hair-treatment","HAIR PRODUCT"
"perapi-pakaian","PEMBERSIH PERALATAN"
"pembersih-lantai","PEMBERSIH PERALATAN"
"kids-cologne-oil-lotion-cream","BODY WASH"
"cooking-sauce-1","OTHERS"
"sunscreen","OTHERS"
"Cairan Pembersih Dapur","PEMBERSIH PERALATAN"
"Sabun Cair","BODY WASH"
"Sabun Batang","BODY WASH"
"Pelembab Kulit Badan","OTHERS"
"Deodoran & Anti Perspirant","OTHERS"
"Sampo","OTHERS"
"Sabun Mandi Anak","BODY WASH"
"Sabun Khusus Peralatan Makan Anak","BODY WASH"
"Deterjen","OTHERS"
"Penyedap Rasa","OTHERS"
"Bedak, Minyak dan Lotion Bayi","BABY CARE"
"Kesehatan Gigi Bayi","ORAL HYGIENE"
"Pelembut & Pelicin Pakaian","PEMBERSIH PERALATAN"
"Saus & Sambal","OTHERS"
"Pasta Gigi Umum","ORAL HYGIENE"
"Bumbu Masak Instan","FOOD"
"Teh Sachet","FOOD"
"Daun Teh","FOOD"
"Bumbu Kemasan","FOOD"
"Pembersih Lantai","PEMBERSIH PERALATAN"
"Pembersih Kamar Mandi","PEMBERSIH PERALATAN"
"Perawatan Kulit Tubuh Pria","OTHERS"
"Kesehatan Rambut Lainnya","HAIR PRODUCT"
"Obat Pembersih Mulut","ORAL HYGIENE"
