"id","name","price","originalprice","discountPercentage","detail","platform","category","scrapedate","seller"
"10654502131","Buy 2 Sunsilk Black Shine 900 ml Refill Pouch FREE Sunsilk 300 ML","162.000","277.800","42","ML","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"10654502290","Buy 2 Sunsilk Black Shine 900ML FREE Ponds Rose Micellar Water 100ML","162.000","277.800","42","100ML","Tokopedia","Micellar Water","2024-01-28","Unilever Official Store"
"10654502312","Buy 2 Sunsilk Black Shine 900ml FREE Sunsilk Rambut Rontok 300 ML","162.000","277.800","42","ML","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"10654502446","Buy 2 Close Up Korea Everfresh Spearmint free Kim Mingue Totebag","55.800","83.800","33","Totebag","Tokopedia","Pasta Gigi","2024-01-28","Unilever Official Store"
"10654502617","Buy 2 Close Up Korea Everfresh Eucalyptus free Kim Mingue Totebag","55.800","83.800","33","Totebag","Tokopedia","Pasta Gigi","2024-01-28","Unilever Official Store"
"10703987744","Zwitsal Baby Bath Aloe Vera 450Ml Twinpack FREE Baby Diaper Cream 50gr","59.800","117.800","49","50gr","Tokopedia","Shampoo & Sabun Bayi","2024-01-28","Unilever Official Store"
"10703993283","Zwitsal Eau De Toilette 100Ml Twinpack FREE Baby Diaper Cream 50gr","58.600","105.800","45","50gr","Tokopedia","Parfum & Cologne Anak-Anak","2024-01-28","Unilever Official Store"
"10704018069","Zwitsal Baby Face & Body Care Cream 50g Isi 2 FREE Baby Diaper Cream","81.800","81.800","0","Cream","Tokopedia","Cream & Lotion Bayi","2024-01-28","Unilever Official Store"
"10709473875","Lifebuoy Shampoo Kuat & Berkilau 430ml","41.100","66.900","39","430ml","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"10756864254","LBP Rice Oil&Angelica Body Wash 380ml Isi 2 FREE LBP Conditioner 400ml","156.800","233.800","33","400ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"10756864355","LBP Rice Oil Body Serum 185ml Isi 2 FREE LBP Conditioner 380ml","167.300","249.800","33","380ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"10756864558","LBP Body Mist Rose & Coconut 100ML Twinpack FREE LBP Body Mist 100ml","159.700","239.800","33","100ml","Tokopedia","Body Lotion","2024-01-28","Unilever Official Store"
"10756864814","Vaselineâ€‹ Gluta Flawless Bright + Overnight 200Ml FREE Lip Care 10g","96.700","175.800","45","10g","Tokopedia","Body Lotion","2024-01-28","Unilever Official Store"
"10756865287","LBP Rice Oil&Angelica Body Serum 185ml FREE LBP Conditioner 380ml","83.700","124.900","33","380ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"10756865375","LBP Rice Oil&Sakura Glow Serum 185ml Isi 2 FREE LBP Body Mist 100ml","167.300","249.800","33","100ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"10756865417","LBP Rice Oil&Sakura Glow Body Serum 185ml FREE LBP Body Mist 100ml","83.700","124.900","33","100ml","Tokopedia","Serum Wajah","2024-01-28","Unilever Official Store"
"10756865716","Ponds Sun Serum SPF35 FREE Ponds Power Serum 7,5gr","27.800","41.900","34","7.5gr","Tokopedia","Krim Wajah","2024-01-28","Unilever Official Store"
"10756865810","LBP Body Mist Rose & Coconut 100ML FREE LBP Body MIst Lavender 100ml","79.900","119.900","33","100ml","Tokopedia","Face Mist","2024-01-28","Unilever Official Store"
"10756866012","LBP Soft & Nourish Shampoo 380ml FREE LBP Body MIst Lavender 100ml","94.400","140.900","33","100ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"10756866263","Ponds Age Miracle Youthful Glow 30Ml FREE Ponds Age Miracle Cleanser","229.900","346.900","34","Cleanser","Tokopedia","Cleanser Wajah","2024-01-28","Unilever Official Store"
"10756866363","Ponds Sun Serum SPF35 Twinpack FREE Ponds Power Serum 7,5gr","55.500","83.800","34","7.5gr","Tokopedia","Krim Wajah","2024-01-28","Unilever Official Store"
"10756866432","Ponds Age Miracle Ultimate Youth Essence 30G FREE Ponds Age Cleanser","211.500","319.900","34","Cleanser","Tokopedia","Krim Wajah","2024-01-28","Unilever Official Store"
"10756866569","Ponds Vitamin Micellar Water Rose 235Ml Isi 2 FREE Sun Serum SPF35","101.200","153.800","34","SPF35","Tokopedia","Micellar Water","2024-01-28","Unilever Official Store"
"10871396320","Sariwangi Teh Mawar Twinpack FREE Oatside Barista Blend 200ml","11.200","17.800","37","200ml","Tokopedia","Teh","2024-01-28","Unilever Official Store"
"10952540184","Buy 1 Rinso Matic Capsule Sakura + Buy 1 Rinso Matic Capsule Lavender","80.900","135.800","40","Lavender","Tokopedia","Deterjen Laundry","2024-01-28","Unilever Official Store"
"10952551406","Buy 2 Rinso Matic Capsule Sakura + Buy 2 Rinso Matic Capsule Lavender","161.800","271.600","40","Lavender","Tokopedia","Deterjen Laundry","2024-01-28","Unilever Official Store"
"10952564322","Buy 3 Rinso Matic Capsule Sakura + Buy 3 Rinso Matic Capsule Lavender","242.600","407.400","40","Lavender","Tokopedia","Deterjen Laundry","2024-01-28","Unilever Official Store"
"10986409879","[KESEMPATAN MENANG] Mystery Box Rinso Capsule Sakura FREE Dyson","80.900","291.600","72","Dyson","Tokopedia","Teh","2024-01-28","Unilever Official Store"
"11064226906","[KESEMPATAN MENANG] Mystery Box Rinso Lavender Fresh Free Oven","121.300","213.700","43","Oven","Tokopedia","Teh","2024-01-28","Unilever Official Store"
"11216811964","Lux Bright Bluebell Niacinamide Body Wash Pump 580ml","73.800","107.900","32","580ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"11216821016","Clear Shampoo Anti Ketomber Complete Soft Care 70ml","12.500","20.900","40","70ml","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"11216834950","Rexona Men Deodorant Anti-Perspirant Roll On Activ-Bright 45Ml","23.600","34.900","32","45Ml","Tokopedia","Deodorant","2024-01-28","Unilever Official Store"
"11216843716","Rexona Men Deodorant Anti-Perspirant Adventure Roll On 45Ml","19.300","28.900","33","45Ml","Tokopedia","Deodorant","2024-01-28","Unilever Official Store"
"11216856795","Rexona Men Anti-Perspirant Roll On Natural Fresh Lime Cool 45ml","23.600","34.900","32","45ml","Tokopedia","Deodorant","2024-01-28","Unilever Official Store"
"11216870008","Rexona Men Anti-Perspirant Roll On Natural Fresh Charcoal Fresh 45Ml","23.600","34.900","32","45Ml","Tokopedia","Deodorant","2024-01-28","Unilever Official Store"
"11216878837","Rexona Men Anti-Perspirant Deodorant Roll On Sport Defence 45Ml","16.000","28.900","45","45Ml","Tokopedia","Deodorant","2024-01-28","Unilever Official Store"
"11392958837","DOVE BW GF REVIVE KR REFF 400ML FREE","10.000.000","10.000.000","0","FREE","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"11456068700","[Mystery Box] Sunlight Extra Lembut 650ml Twinpack FREE Midea Oven","25.200","42.850","41","Oven","Tokopedia","Sabun Cuci Piring","2024-01-28","Unilever Official Store"
"11506623947","Buy 3 Lifebuoy Lemon Fresh 825ml FREE Lifebuoy Cool Fresh 400ml","107.800","191.700","44","400ml","Tokopedia","Sabun Mandi","2024-01-28","Unilever Official Store"
"11601400544","Bango Less Sugar 520ml + Royco Ayam 220gr FREE Fiber CrÃ¨me 100 gr","31.800","54.800","42","gr","Tokopedia","Kaldu & Penyedap Rasa","2024-01-28","Unilever Official Store"
"11677195397","Love Beauty & Planet Body MistLavender 100ML FREE LBP VolumeConditione","79.900","119.900","33","VolumeConditione","Tokopedia","Body Lotion","2024-01-28","Unilever Official Store"
