"id","name","price","originalprice","discountPercentage","detail","platform","category","scrapedate","seller"
"10000305","Bango Kecap Manis 275mL","23.900","23.900","0","275mL","Indomaret","kecap","2024-01-28","Toko Indomaret"
"10000451","Close Up Pasta Gigi Gel Green Menthol Fresh 65g","8.200","8.200","0","65g","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10003359","Wipol Pembersih Lantai Classic Pine 750Ml","33.700","33.700","0","750Ml","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10003569","Close Up Pasta Gigi Gel Green Ever Fresh 160G","21.700","21.700","0","160G","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10004032","Vixal Pembersih Porselin Green 750mL","19.300","19.300","0","750mL","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10004034","Vixal Pembersih Keramik Pors Biru 750mL","19.300","19.300","0","750mL","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10004048","Pepsodent Pencegah Gigi Berlubang Pasta Gigi 75G","6.000","6.000","0","75G","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10004714","Pepsodent Pencegah Gigi Berlubang Pasta Gigi 120G","10.800","10.800","0","120G","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10005038","Wall's Ice Cream Populaire Chocolate-Vanila 90Ml","5.200","5.200","0","90Ml","Indomaret","es-krim","2024-01-28","Toko Indomaret"
"10005039","Wall's Ice Cream Populaire Strawbery-Vanila 90Ml","5.200","5.200","0","90Ml","Indomaret","es-krim","2024-01-28","Toko Indomaret"
"10005073","Blue Band Margarine Serbaguna 200G","10.200","10.200","0","200G","Indomaret","mentega--margarin","2024-01-28","Toko Indomaret"
"10005482","Sunlight Pencuci Piring Jeruk Nipis 650mL","14.900","14.900","0","650mL","Indomaret","sabun-cuci-piring","2024-01-28","Toko Indomaret"
"10005820","Royco Bumbu Kaldu Ayam 100G","5.900","5.900","0","100G","Indomaret","garam-bumbu","2024-01-28","Toko Indomaret"
"10005821","Royco Bumbu Kaldu Daging Sapi 94G","5.900","5.900","0","94G","Indomaret","garam-bumbu","2024-01-28","Toko Indomaret"
"10007970","Buavita Jus Buah Jambu 245mL","8.700","8.700","0","245mL","Indomaret","jus","2024-01-28","Toko Indomaret"
"10007971","Buavita Orange 250Ml","8.700","8.700","0","250Ml","Indomaret","jus","2024-01-28","Toko Indomaret"
"10007972","Buavita Juice Slim Apple 245mL","8.700","8.700","0","245mL","Indomaret","jus","2024-01-28","Toko Indomaret"
"10007973","Buavita Jus Buah Asli Mangga 245mL","8.700","8.700","0","245mL","Indomaret","jus","2024-01-28","Toko Indomaret"
"10007974","Buavita Juice Slim Lychee 245mL","8.700","8.700","0","245mL","Indomaret","jus","2024-01-28","Toko Indomaret"
"10008819","Bango Kecap Manis 520mL","26.500","26.500","0","520mL","Indomaret","kecap","2024-01-28","Toko Indomaret"
"10010220","Sariwangi Teh Celup Asli 50X1.9G","13.300","13.300","0","50X1.9G","Indomaret","teh-celup","2024-01-28","Toko Indomaret"
"10010480","Super Pell Pembersih Lantai Refill Fresh Apple 770Ml","16.700","16.700","0","770Ml","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10014260","Super Pell Pembersih Lantai Refill Lemon Ginger 770Ml","16.700","16.700","0","770Ml","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10014263","Wipol Karbol Wangi Cemara 750Ml","21.200","21.200","0","750Ml","Indomaret","pembersih-lantai-dan-toilet","2024-01-28","Toko Indomaret"
"10017154","Bango Kecap Manis Refill 210mL","12.500","12.500","0","210mL","Indomaret","kecap","2024-01-28","Toko Indomaret"
"10020784","Bango Kecap Manis 135mL","10.900","10.900","0","135mL","Indomaret","kecap","2024-01-28","Toko Indomaret"
"10025410","Pepsodent Pasta Gigi Whitening 75G","11.100","11.100","0","75G","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10025411","Pepsodent Pasta Gigi Action 123 + Whitening 190g","26.200","26.200","0","190g","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10026612","Pepsodent Sikat Gigi Double Care Sensitive Single","17.500","17.500","0","Single","Indomaret","tooth-brush","2024-01-28","Toko Indomaret"
"10027167","Dove Deodorant Roll On Complete Care Original 40mL","26.900","26.900","0","40mL","Indomaret","deodorant-stick","2024-01-28","Toko Indomaret"
"10031396","Royco Sup Krim Ayam 58G","9.100","9.100","0","58G","Indomaret","sup-instan","2024-01-28","Toko Indomaret"
"10033236","Zwitsal Baby Sabun Mandi Cair Natural H&B Aloe Vera 200mL","24.900","24.900","0","200mL","Indomaret","perlengkapan-bayi","2024-01-28","Toko Indomaret"
"10037208","Close Up Pasta Gigi Deep Action Menthol Fresh 110g","16.900","16.900","0","110g","Indomaret","tooth-paste--treatment","2024-01-28","Toko Indomaret"
"10037632","Wall's Ice Cream Feast Chocolate 65Ml","6.200","6.200","0","65Ml","Indomaret","es-krim","2024-01-28","Toko Indomaret"
"10037640","Wall's Ice Cream Feast Vanilla 65Ml","6.200","6.200","0","65Ml","Indomaret","es-krim","2024-01-28","Toko Indomaret"
"10037787","Zwitsal Baby Cologne Canola Oil Floral Kisses 100mL","26.500","26.500","0","100mL","Indomaret","baby-cologne-oil-lotion-cream","2024-01-28","Toko Indomaret"
"10654502131","Buy 2 Sunsilk Black Shine 900 ml Refill Pouch FREE Sunsilk 300 ML","162.000","277.800","42","ML","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"10654502290","Buy 2 Sunsilk Black Shine 900ML FREE Ponds Rose Micellar Water 100ML","162.000","277.800","42","100ML","Tokopedia","Micellar Water","2024-01-28","Unilever Official Store"
"10654502312","Buy 2 Sunsilk Black Shine 900ml FREE Sunsilk Rambut Rontok 300 ML","162.000","277.800","42","ML","Tokopedia","Shampoo","2024-01-28","Unilever Official Store"
"10654502446","Buy 2 Close Up Korea Everfresh Spearmint free Kim Mingue Totebag","55.800","83.800","33","Totebag","Tokopedia","Pasta Gigi","2024-01-28","Unilever Official Store"
"10654502617","Buy 2 Close Up Korea Everfresh Eucalyptus free Kim Mingue Totebag","55.800","83.800","33","Totebag","Tokopedia","Pasta Gigi","2024-01-28","Unilever Official Store"
"10703987744","Zwitsal Baby Bath Aloe Vera 450Ml Twinpack FREE Baby Diaper Cream 50gr","59.800","117.800","49","50gr","Tokopedia","Shampoo & Sabun Bayi","2024-01-28","Unilever Official Store"
"10703993283","Zwitsal Eau De Toilette 100Ml Twinpack FREE Baby Diaper Cream 50gr","58.600","105.800","45","50gr","Tokopedia","Parfum & Cologne Anak-Anak","2024-01-28","Unilever Official Store"
